Time,Repetition,Trial,HRTF,HRTFidx,azi_target,ele_target,azi_response,ele_response,attenuation_dB,correctionTrial,
12/01/2024 13:05:12,-1,56,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,56,-137.0387,73.62553,0,1,
12/01/2024 13:05:17,-1,56,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,198,56,-158.3181,62.19887,0,2,
12/01/2024 13:05:22,-1,57,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,126,56,126.347,59.86819,0,0,
12/01/2024 13:05:26,-1,58,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,32,29.80196,1.966425,0,0,
12/01/2024 13:05:29,-1,58,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,32,25.10495,40.42063,0,1,
12/01/2024 13:05:32,-1,58,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,18,32,16.58872,30.45389,0,2,
12/01/2024 13:05:36,-1,59,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,54,-56,56.14351,-57.36524,0,0,
12/01/2024 13:05:40,-1,60,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,32,89.25493,16.77767,0,0,
12/01/2024 13:05:44,-1,60,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,90,32,88.96632,32.83693,0,1,
12/01/2024 13:05:48,-1,61,TRAINING - KEMAR_Knowl_EarSim_SmallEars_Windowed_NoITD_48kHz.3dti-hrtf.bytes,0,180,0,-1.59127,-36.46701,0,0,
